epoch,step,test_loss,test_rmse,train_loss,train_rmse_epoch,train_rmse_step,valid_loss,valid_rmse
0,4,,,,,11.235001564025879,,
0,4,,,,,,129.54750061035156,11.381893157958984
0,4,,,129.31063842773438,11.369237899780273,,,
1,9,,,,,10.992315292358398,,
1,9,,,,,,127.1884765625,11.277787208557129
1,9,,,126.5471420288086,11.246172904968262,,,
2,14,,,,,11.092087745666504,,
2,14,,,,,,124.52941131591797,11.15927505493164
2,14,,,123.94703674316406,11.12382698059082,,,
3,19,,,,,12.75036907196045,,
3,19,,,,,,121.72169494628906,11.032755851745605
3,19,,,121.13981628417969,10.957178115844727,,,
4,24,,,,,11.028006553649902,,
4,24,,,,,,118.90989685058594,10.904581069946289
4,24,,,118.22480010986328,10.844929695129395,,,
5,29,,,,,11.067100524902344,,
5,29,,,,,,115.93699645996094,10.767404556274414
5,29,,,115.17852783203125,10.718411445617676,,,
6,34,,,,,11.529534339904785,,
6,34,,,,,,112.8755111694336,10.624288558959961
6,34,,,111.95195007324219,10.545970916748047,,,
7,39,,,,,9.059664726257324,,
7,39,,,,,,109.80718231201172,10.47889232635498
7,39,,,108.6624984741211,10.395383834838867,,,
8,44,,,,,10.080293655395508,,
8,44,,,,,,106.718505859375,10.330465316772461
8,44,,,105.36422729492188,10.250219345092773,,,
9,49,,,,,8.969853401184082,,
9,49,,,,,,103.62499237060547,10.179636001586914
9,49,,,102.02106475830078,10.081453323364258,,,
10,50,84.11876678466797,9.17162799835205,,,,,
